,n_neighbors,min_dist,qij_score
0,2,0.01,0.13111601211747015
1,2,0.025,0.233883826643158
2,2,0.05,0.29334731753355925
3,2,0.075,0.2399908284126564
4,2,0.1,0.22891240592537798
5,2,0.25,0.18282807372712995
6,2,0.5,0.1586353106512295
7,2,0.75,0.21953214379267294
8,2,1.0,0.17304283041411495
9,3,0.01,0.14271964450328056
10,3,0.025,0.04702311149805105
11,3,0.05,0.20692958550328733
12,3,0.075,0.201287009050251
13,3,0.1,0.16590314864675726
14,3,0.25,0.16017068389071376
15,3,0.5,0.2656000916721073
16,3,0.75,0.23941486275623802
17,3,1.0,0.23386809620825666
18,4,0.01,0.2074664749538222
19,4,0.025,0.29549292047890674
20,4,0.05,0.1599205841011102
21,4,0.075,0.1883386629223871
22,4,0.1,0.22385437351309
23,4,0.25,0.45165724505823945
24,4,0.5,0.3618113923595363
25,4,0.75,0.3761556120633731
26,4,1.0,0.4058334573990159
27,5,0.01,0.2507678039791461
28,5,0.025,0.32477045069991206
29,5,0.05,0.43804254926298647
30,5,0.075,0.2727666064757788
31,5,0.1,0.35401178426693924
32,5,0.25,0.41275510214538436
33,5,0.5,0.4519372701535911
34,5,0.75,0.5332635573028099
35,5,1.0,0.4062422885948891
36,6,0.01,0.4938338059721872
37,6,0.025,0.38394362014209804
38,6,0.05,0.5019746849932503
39,6,0.075,0.48145423667088316
40,6,0.1,0.5342380127812625
41,6,0.25,0.5236736512088829
42,6,0.5,0.4646403618005994
43,6,0.75,0.4966975001153564
44,6,1.0,0.46631883874694147
45,7,0.01,0.4167782428213336
46,7,0.025,0.27559752680798866
47,7,0.05,0.3587800847370577
48,7,0.075,0.47800916097301993
49,7,0.1,0.5062361013900762
50,7,0.25,0.4566490927769937
51,7,0.5,0.5222251744547286
52,7,0.75,0.5537978053986166
53,7,1.0,0.4046819435700346
54,8,0.01,0.6186599861589919
55,8,0.025,0.6602995372231035
56,8,0.05,0.5982120588666966
57,8,0.075,0.5216923928632511
58,8,0.1,0.5822576361748197
59,8,0.25,0.5923227467559133
60,8,0.5,0.5524063675708941
61,8,0.75,0.5497680455260436
62,8,1.0,0.5884022433533804
63,9,0.01,0.6342418048087115
64,9,0.025,0.6349667354511652
65,9,0.05,0.6878182908123467
66,9,0.075,0.6553236232523414
67,9,0.1,0.5484066259390215
68,9,0.25,0.5592433204236524
69,9,0.5,0.5580527408273745
70,9,0.75,0.40988861065013893
71,9,1.0,0.553059968811688
72,10,0.01,0.677337232746666
73,10,0.025,0.7327258969967048
74,10,0.05,0.6560456678668949
75,10,0.075,0.6426068703531325
76,10,0.1,0.5599686681428384
77,10,0.25,0.6046379991609836
78,10,0.5,0.5636393631961862
79,10,0.75,0.5430341233477449
80,10,1.0,0.5517013757503779
81,11,0.01,0.7336794262405899
82,11,0.025,0.7480713094391884
83,11,0.05,0.7400941497680096
84,11,0.075,0.6977198683555645
85,11,0.1,0.6522328842610943
86,11,0.25,0.6638290921866377
87,11,0.5,0.6145553831148121
88,11,0.75,0.5606711712828716
89,11,1.0,0.5472679678160137
90,12,0.01,0.7137268063209756
91,12,0.025,0.6281487183945469
92,12,0.05,0.5868138776696181
93,12,0.075,0.6868378478950454
94,12,0.1,0.6894466815029361
95,12,0.25,0.5800644331010307
96,12,0.5,0.5820343119578233
97,12,0.75,0.5833135688790883
98,12,1.0,0.557462922026863
99,13,0.01,0.7336780425414222
100,13,0.025,0.7552621372087893
101,13,0.05,0.6875882162559641
102,13,0.075,0.5645840504497475
103,13,0.1,0.6238437597749495
104,13,0.25,0.6256739855780111
105,13,0.5,0.5985618860111419
106,13,0.75,0.5888132174460203
107,13,1.0,0.517979984682789
108,14,0.01,0.7104311883905368
109,14,0.025,0.723996377180832
110,14,0.05,0.7128607702112202
111,14,0.075,0.677903215919784
112,14,0.1,0.6593727051949774
113,14,0.25,0.6623267874481797
114,14,0.5,0.6405770383441682
115,14,0.75,0.5834561248076167
116,14,1.0,0.553614939769604
117,15,0.01,0.7105485651080254
118,15,0.025,0.774398965133468
119,15,0.05,0.6201374987140884
120,15,0.075,0.7102750843519399
121,15,0.1,0.6059021071917545
122,15,0.25,0.6268582436704477
123,15,0.5,0.6190956764183948
124,15,0.75,0.5255347099243011
125,15,1.0,0.49753336196766007
126,16,0.01,0.7443956487662788
127,16,0.025,0.7161177408066077
128,16,0.05,0.6436315796873888
129,16,0.075,0.6504196142597749
130,16,0.1,0.6979355252243025
