,n_neighbors,min_dist,qij_score
0,2,0.01,0.6136080467838783
1,2,0.025,0.5115492581248544
2,2,0.05,0.5004708345923872
3,2,0.075,0.4780922941134671
4,2,0.1,0.6361273060415842
5,2,0.25,0.5463841540336363
6,2,0.5,0.3699443489970413
7,2,0.75,0.3419590611858183
8,2,1.0,0.3848354932324751
9,3,0.01,1.2677112133401094
10,3,0.025,1.3122318119117002
11,3,0.05,1.2308047801245818
12,3,0.075,1.2079576328763793
13,3,0.1,0.9868001571448017
14,3,0.25,1.349411871331256
15,3,0.5,1.2033721192010152
16,3,0.75,1.0177272300676963
17,3,1.0,0.9985547471915632
18,4,0.01,1.8491181830201509
19,4,0.025,1.8102036261031076
20,4,0.05,1.7786092025498794
21,4,0.075,1.7671227854090565
22,4,0.1,1.7870556343924617
23,4,0.25,1.6288614204376133
24,4,0.5,1.3698181566793721
25,4,0.75,1.3496482710418318
26,4,1.0,1.2582294537009542
27,5,0.01,1.8994482202600889
28,5,0.025,1.9392704910782301
29,5,0.05,1.8599460773613572
30,5,0.075,1.8814097979357793
31,5,0.1,1.8823136156655815
32,5,0.25,1.7854457308929286
33,5,0.5,1.5815504152009794
34,5,0.75,1.4939936467690291
35,5,1.0,1.3515546018709168
36,6,0.01,2.0540481563693103
37,6,0.025,2.0071876094963557
38,6,0.05,2.0124494211580304
39,6,0.075,1.9365119009799754
40,6,0.1,1.9308186434498706
41,6,0.25,1.7774695803262182
42,6,0.5,1.5681854881420447
43,6,0.75,1.4886671674941736
44,6,1.0,1.3456311360255153
45,7,0.01,2.0434937642623705
46,7,0.025,1.9818727045226359
47,7,0.05,2.0404594985531075
48,7,0.075,1.9676163305061962
49,7,0.1,1.858934560384296
50,7,0.25,1.78141418410042
51,7,0.5,1.5659518983388194
52,7,0.75,1.445627841093633
53,7,1.0,1.3153375119956348
54,8,0.01,1.9913099958215241
55,8,0.025,2.0032459573985717
56,8,0.05,1.9433496837016042
57,8,0.075,1.952163223770703
58,8,0.1,1.9061110967163986
59,8,0.25,1.826626040012803
60,8,0.5,1.6317935186639723
61,8,0.75,1.5115748791697623
62,8,1.0,1.3995649133408827
63,9,0.01,1.9780476244665879
64,9,0.025,1.957043561513002
65,9,0.05,2.011334003137157
66,9,0.075,1.9840058263779525
67,9,0.1,1.8794969530865862
68,9,0.25,1.755882873943424
69,9,0.5,1.6659350216059314
70,9,0.75,1.461257610157471
71,9,1.0,1.3763049005633148
72,10,0.01,1.9824502073214685
73,10,0.025,2.0562352715304675
74,10,0.05,2.015606374959982
75,10,0.075,1.8873244685732766
76,10,0.1,1.8910162853015846
77,10,0.25,1.8295009825671213
78,10,0.5,1.5281524349456612
79,10,0.75,1.4707008292831567
80,10,1.0,1.3828808802620918
81,11,0.01,2.045753092212566
82,11,0.025,2.020449238794594
83,11,0.05,1.961010432844736
84,11,0.075,1.9722510196031848
85,11,0.1,1.9110056863260292
86,11,0.25,1.8507031020450695
87,11,0.5,1.5815836033456234
88,11,0.75,1.5237555303715293
89,11,1.0,1.3753983453871115
90,12,0.01,2.049512185810058
91,12,0.025,2.0048516150553786
92,12,0.05,2.001667154564072
93,12,0.075,1.963201962950686
94,12,0.1,1.894714721012357
95,12,0.25,1.7517080862703187
96,12,0.5,1.5051619375507608
97,12,0.75,1.4846019343803771
98,12,1.0,1.2745311272827813
99,13,0.01,2.038424763925131
100,13,0.025,1.8800989413695195
101,13,0.05,1.98901811162919
102,13,0.075,1.9481664601639874
