,n_neighbors,min_dist,qij_score
0,2,0.01,0.14012415385352028
1,2,0.025,0.011765863160834833
2,2,0.05,0.09816596275266676
3,2,0.075,0.039522941323970606
4,2,0.1,0.17096138427290875
5,2,0.25,0.04387463749247544
6,2,0.5,0.04225009678234315
7,2,0.75,0.07609171850190499
8,2,1.0,0.0364168406154981
9,3,0.01,0.9926219870012707
10,3,0.025,1.338128050652255
11,3,0.05,1.0008753376525554
12,3,0.075,1.273787348466108
13,3,0.1,0.8039797986720734
14,3,0.25,1.0996988168129516
15,3,0.5,1.1110863982764307
16,3,0.75,1.0508457854757491
17,3,1.0,0.9391622745459172
18,4,0.01,1.4790134666055605
19,4,0.025,1.5216562921021515
20,4,0.05,1.5054208627633079
21,4,0.075,1.4508914861098736
22,4,0.1,1.4026736794760186
23,4,0.25,1.3928783757364531
24,4,0.5,1.1653263679622263
25,4,0.75,1.0945422479406393
26,4,1.0,1.074372335188147
27,5,0.01,1.5585330161152422
28,5,0.025,1.5537752131079552
29,5,0.05,1.522587304644933
30,5,0.075,1.4872763636752557
31,5,0.1,1.5667190935460855
32,5,0.25,1.3997543014830445
33,5,0.5,1.2647167653105287
34,5,0.75,1.116481369792833
35,5,1.0,1.072023087898728
36,6,0.01,1.599900916267365
37,6,0.025,1.4968998866147478
38,6,0.05,1.5175345818009056
39,6,0.075,1.460782788980846
40,6,0.1,1.4612658499024818
41,6,0.25,1.361012654895883
42,6,0.5,1.1937367213603851
43,6,0.75,1.1338175081060937
44,6,1.0,1.1541806107278196
45,7,0.01,1.6297213717427184
46,7,0.025,1.6072323087322404
47,7,0.05,1.5466813598070877
48,7,0.075,1.5242575223808048
49,7,0.1,1.5501919186144395
50,7,0.25,1.4373240669843845
51,7,0.5,1.2707662166427856
52,7,0.75,1.1003839810147538
53,7,1.0,1.0838497156168376
54,8,0.01,1.6102536536056
55,8,0.025,1.5359610376012434
56,8,0.05,1.48663803353854
57,8,0.075,1.516629077126928
58,8,0.1,1.5531719742280243
59,8,0.25,1.3535756107999868
60,8,0.5,1.2923138249177022
61,8,0.75,1.1171020674757823
62,8,1.0,1.0772756398990104
63,9,0.01,1.5616601131576253
64,9,0.025,1.6002258352447152
65,9,0.05,1.6597626752124972
66,9,0.075,1.5535025850507465
67,9,0.1,1.505398152045009
68,9,0.25,1.5235119615661459
69,9,0.5,1.1493732185847305
70,9,0.75,1.1794179186350995
71,9,1.0,1.0735725717063067
72,10,0.01,1.5927454447684326
73,10,0.025,1.5964618955952545
74,10,0.05,1.6427932922820343
75,10,0.075,1.458327672818152
76,10,0.1,1.600583202925229
77,10,0.25,1.4718967608341558
78,10,0.5,1.2284839583968443
79,10,0.75,1.16134895131509
80,10,1.0,1.0804008432191097
81,11,0.01,1.616582852140115
82,11,0.025,1.7047023048721126
83,11,0.05,1.5931057954529049
84,11,0.075,1.6161873345614834
85,11,0.1,1.5454129978757951
86,11,0.25,1.4157956673159848
87,11,0.5,1.2998612982496303
88,11,0.75,1.1185320758359882
89,11,1.0,1.111305400294639
90,12,0.01,1.5732324925587937
91,12,0.025,1.5486610440908084
92,12,0.05,1.6200408097825347
93,12,0.075,1.4561856472684935
94,12,0.1,1.5672622896884816
95,12,0.25,1.4405782582982063
96,12,0.5,1.2084765550544718
97,12,0.75,1.0746197018178094
98,12,1.0,1.1179537004963702
99,13,0.01,1.6081926215347675
100,13,0.025,1.6595717111638564
101,13,0.05,1.5141296425310156
102,13,0.075,1.6145172224057447
103,13,0.1,1.4282656481481375
104,13,0.25,1.5066524480789987
105,13,0.5,1.2008388985199074
106,13,0.75,1.228560583495491
107,13,1.0,1.0934821815201419
108,14,0.01,1.6126858805402469
109,14,0.025,1.6380422048104997
110,14,0.05,1.6335196536008496
111,14,0.075,1.5899442581298224
112,14,0.1,1.5370185604968603
113,14,0.25,1.3633857591502405
114,14,0.5,1.2350052986529603
115,14,0.75,1.132650496819534
116,14,1.0,1.010697676256929
117,15,0.01,1.6110925421155304
118,15,0.025,1.6516368599766125
119,15,0.05,1.5812616752080482
120,15,0.075,1.5164092155867746
121,15,0.1,1.532226264568373
122,15,0.25,1.3978805701848698
123,15,0.5,1.2304029603085738
124,15,0.75,1.1685952643779336
125,15,1.0,1.0867423985649376
126,16,0.01,1.562057535799683
127,16,0.025,1.545556152101443
128,16,0.05,1.5545272362572495
129,16,0.075,1.5653002043177136
130,16,0.1,1.5192163199545083
131,16,0.25,1.4521619103579457
132,16,0.5,1.2978840056384096
133,16,0.75,1.1225533820036704
134,16,1.0,1.034146318504809
135,17,0.01,1.61372424633774
136,17,0.025,1.5920399233127283
